S,fixed_D1_MAE,relaxed_D1_MAE,fixed_oracle_MAE,relaxed_oracle_MAE,S_over_2
0.0,0.011545717210041247,0.01154497375648889,0.004574669742624603,0.0045745019773852855,0.0
0.04,0.030155381572382785,0.03049938766666318,0.005539642800946467,0.005539453327470761,0.02
0.1,0.05599429139619107,0.05599723184616368,0.008456757214781417,0.008456677312493525,0.05
0.2,0.10227644752725855,0.10227744134344613,0.01285665972863561,0.01285680444029617,0.1
0.4,0.20209194018164692,0.20209083663774183,0.02205364802971091,0.022054299726068597,0.2
0.6,0.3027571710552407,0.30274616017607475,0.028917429130576704,0.02891738401677565,0.3
