S,dn_L1,dn_Linf,dN_left,Q,step_per_Q,mirror_dn_max,mirror_dn_mean,step_per_mirror_dn_max,iters,final_residual
0.0,0.0,0.0,0.0,0.0,inf,1.0325074129013956e-14,1.803316339437155e-15,0.0,36,6.437501035524934e-11
0.04,1.1852880615771777e-05,2.3031104785520284e-06,1.4415732696545322e-06,5.926440307885888e-06,6749.414137652728,4.460435727771106e-06,7.892030836374319e-07,8967.733746493894,18,5.947222430671006e-11
0.1,2.987995621612777e-05,6.079040888895548e-06,3.6378936217506855e-06,1.4939978108063885e-05,6693.450236451471,1.1236676429771109e-05,1.9840251491400366e-06,8899.428636661118,18,9.098882029870185e-11
0.2,6.161029579640462e-05,1.3485760486542375e-05,7.662934728213643e-06,3.080514789820231e-05,6492.4213531099895,2.3127744108952797e-05,4.051019782349954e-06,8647.622485695852,19,8.066650298905726e-11
0.4,0.00014263266876246954,3.6331322393667875e-05,2.096561183223275e-05,7.131633438123477e-05,5608.813232908542,5.358346005679415e-05,8.962058258604761e-06,7464.990121504514,21,5.5316243109482794e-11
0.6,0.0006260816751028614,0.00017934930221241707,0.00020684876355133152,0.0003130408375514307,1916.682835035616,0.00020556511003277933,2.8688182114047706e-05,2918.783250252556,23,9.508838982092251e-11
