S,mae_D1,mirror_pair_floor,S_over_2
0.0,0.011545717210041247,0.011560501031871069,0.0
0.04,0.030155381423793048,0.03034247683489042,0.02
0.1,0.05599429161513732,0.056423658450467054,0.05
0.2,0.1022764475282932,0.10279690265662768,0.1
0.4,0.20209194018164692,0.20319463268930735,0.2
1.0,0.5040876328024466,0.5079865817232628,0.5
