S,$D_1 = [n]$,"$D_2 = [n, n']$","$D_3 = [n, n', n'']$","$D_{\mathrm{oracle}} = [n, x]$"
0.0,0.011545717210041247,0.023287322161279912,0.020588618218219168,0.004574669742624603
0.04,0.030155381423793048,0.033363595565970176,0.02901179670521549,0.0055396428009477465
0.1,0.05599429161513732,0.0517862831531958,0.049496787261280484,0.008456757214781417
0.2,0.1022764475282932,0.09940009305864561,0.09496202256298567,0.01285665972863561
0.4,0.20209194018164692,0.19853858332942395,0.1877415719020478,0.02205364802971091
1.0,0.5040876328024466,0.4961895548874201,0.4683467189199313,0.04146710606388166
