AL,d,DeltaA,k,sigma_k,mae_d1
1.2,8.0,0.8,5,0.030965225625373505,0.04227794893331024
1.2,8.0,0.8,7,0.03312998051204189,0.04227794893331024
1.2,8.0,0.8,10,0.037549915218057596,0.04227794893331024
1.2,8.0,0.8,15,0.041495009578547445,0.04227794893331024
1.2,8.0,0.8,20,0.047485246940524854,0.04227794893331024
1.2,10.0,0.8,3,0.01971823241326751,0.031111955759083924
1.2,10.0,0.8,5,0.020623326839722133,0.031111955759083924
1.2,10.0,0.8,7,0.02450648550277325,0.031111955759083924
1.2,10.0,0.8,10,0.02773953272798947,0.031111955759083924
1.2,10.0,0.8,15,0.03228522187131136,0.031111955759083924
1.2,10.0,0.8,20,0.03895780943512352,0.031111955759083924
1.5,4.0,0.5,3,0.014779501039106479,0.02832957217245333
1.5,4.0,0.5,5,0.017104098514231975,0.02832957217245333
1.5,4.0,0.5,7,0.01939010340762483,0.02832957217245333
1.5,4.0,0.5,10,0.022048532860660525,0.02832957217245333
1.5,4.0,0.5,15,0.027764298012923225,0.02832957217245333
1.5,4.0,0.5,20,0.03331539516208886,0.02832957217245333
1.5,6.0,0.5,3,0.021058987811763897,0.03365740557547776
1.5,6.0,0.5,5,0.022722493564013176,0.03365740557547776
1.5,6.0,0.5,7,0.025608430176491868,0.03365740557547776
1.5,6.0,0.5,10,0.028005449831865228,0.03365740557547776
1.5,6.0,0.5,15,0.03380658147937508,0.03365740557547776
1.5,6.0,0.5,20,0.03973799077234985,0.03365740557547776
1.5,8.0,0.5,3,0.017057470118597796,0.028721916935227233
1.5,8.0,0.5,5,0.01999561580849401,0.028721916935227233
1.5,8.0,0.5,7,0.022583100405217892,0.028721916935227233
1.5,8.0,0.5,10,0.025560769504293528,0.028721916935227233
1.5,8.0,0.5,15,0.030879164135317914,0.028721916935227233
1.5,8.0,0.5,20,0.037298519530443545,0.028721916935227233
1.5,10.0,0.5,3,0.00869213420742623,0.018968538546033253
1.5,10.0,0.5,5,0.01261025312466164,0.018968538546033253
1.5,10.0,0.5,7,0.014371992501316277,0.018968538546033253
1.5,10.0,0.5,10,0.01881178599836376,0.018968538546033253
1.5,10.0,0.5,15,0.025476918713714856,0.018968538546033253
1.5,10.0,0.5,20,0.03169487718603281,0.018968538546033253
1.5,12.0,0.5,3,0.009536393870321831,0.01776428962997162
1.5,12.0,0.5,5,0.013481460518001599,0.01776428962997162
1.5,12.0,0.5,7,0.014919098576407521,0.01776428962997162
1.5,12.0,0.5,10,0.019166833010476187,0.01776428962997162
1.5,12.0,0.5,15,0.02554284249339034,0.01776428962997162
1.5,12.0,0.5,20,0.03139713502064326,0.01776428962997162
1.8,4.0,0.19999999999999996,3,0.009332097904750598,0.02750680514761542
1.8,4.0,0.19999999999999996,5,0.012071300784818084,0.02750680514761542
1.8,4.0,0.19999999999999996,7,0.014725051127116631,0.02750680514761542
1.8,4.0,0.19999999999999996,10,0.01871576203647598,0.02750680514761542
1.8,4.0,0.19999999999999996,15,0.02499860197319542,0.02750680514761542
1.8,4.0,0.19999999999999996,20,0.0314552615941,0.02750680514761542
1.8,6.0,0.19999999999999996,3,0.010714333357973813,0.026851601778017545
1.8,6.0,0.19999999999999996,5,0.013889045282309958,0.026851601778017545
1.8,6.0,0.19999999999999996,7,0.016404004787292568,0.026851601778017545
1.8,6.0,0.19999999999999996,10,0.020332344364704602,0.026851601778017545
1.8,6.0,0.19999999999999996,15,0.026745267771256645,0.026851601778017545
1.8,6.0,0.19999999999999996,20,0.03299337019498037,0.026851601778017545
1.8,8.0,0.19999999999999996,3,0.0066221347216184005,0.022013317100842263
1.8,8.0,0.19999999999999996,5,0.011110658850630442,0.022013317100842263
1.8,8.0,0.19999999999999996,7,0.01374201620135785,0.022013317100842263
1.8,8.0,0.19999999999999996,10,0.018202466153234606,0.022013317100842263
1.8,8.0,0.19999999999999996,15,0.024938170586339715,0.022013317100842263
1.8,8.0,0.19999999999999996,20,0.03158413049033593,0.022013317100842263
1.8,10.0,0.19999999999999996,3,0.004793571156657405,0.019442164306312792
1.8,10.0,0.19999999999999996,5,0.010192125275033591,0.019442164306312792
1.8,10.0,0.19999999999999996,7,0.01265965456329332,0.019442164306312792
1.8,10.0,0.19999999999999996,10,0.017416319929508366,0.019442164306312792
1.8,10.0,0.19999999999999996,15,0.024307553913866544,0.019442164306312792
1.8,10.0,0.19999999999999996,20,0.031142112115217564,0.019442164306312792
2.0,10.0,0.0,3,0.0027888715672565447,0.011529450894066791
2.0,10.0,0.0,5,0.0092415491662838,0.011529450894066791
2.0,10.0,0.0,7,0.011732590964183274,0.011529450894066791
2.0,10.0,0.0,10,0.017187011683301265,0.011529450894066791
2.0,10.0,0.0,15,0.024284427063487712,0.011529450894066791
2.0,10.0,0.0,20,0.03130673787105447,0.011529450894066791
