k,spearman,spearman_p,pearson,pearson_p,mean_sigma
3,0.9508771929824561,4.392139960503309e-10,0.9574735093585492,1.3187821420098962e-10,0.017993721729187152
5,0.9421052631578948,1.7223836464188943e-09,0.9441917773097731,1.269830969061392e-09,0.020324652981942467
7,0.9543859649122807,2.3676715217439657e-10,0.9520314786245301,3.602586865868116e-10,0.022602338417142404
10,0.9456140350877192,1.0246374029085398e-09,0.9417300890859936,1.8172494335733099e-09,0.026259262633381585
15,0.9473684210526316,7.800829220458973e-10,0.9365555759054759,3.6791473408337002e-09,0.031529762872989704
20,0.9491228070175438,5.883089455182516e-10,0.9254918979417027,1.3884742752625296e-08,0.03727294596233985
